Task Type,CPU Time,CPU Time:Execution,CPU Time:Idle,Task Time,Task Time:Execution,Task Time:Idle,Task Count,Task Time,Task Count,Average Task Time
[Outside any task],2.413862,0.560897,1.852965,,,,,,,0.0
clFinish,0.420673,0.420673,0.0,1.316613,1.315626,0.000987,4101,1.316613,4101,0.000321
clEnqueueNDRangeKernel,0.165264,0.165264,0.0,0.141309,0.141090,0.000218,4094,0.141309,4094,0.000035
clCreateBuffer,0.005008,0.0,0.005008,0.006681,0.0,0.006681,3,0.006681,3,0.002227
clEnqueueReadBuffer,0.005008,0.005008,0.0,0.002950,0.002450,0.000500,3,0.002950,3,0.000983
clBuildProgram,0.0,0.0,0.0,0.000194,0.0,0.000194,1,0.000194,1,0.000194
clCreateCommandQueue,0.0,0.0,0.0,0.000072,0.0,0.000072,1,0.000072,1,0.000072
clCreateKernel,0.0,0.0,0.0,0.000120,0.0,0.000120,2,0.000120,2,0.000060
clCreateProgramWithSource,0.0,0.0,0.0,0.000014,0.0,0.000014,1,0.000014,1,0.000014
clEnqueueWriteBuffer,0.0,0.0,0.0,0.004295,0.001964,0.002331,3,0.004295,3,0.001432
clReleaseMemObject,0.0,0.0,0.0,0.000057,0.0,0.000057,3,0.000057,3,0.000019
