Task Type,CPU Time,CPU Time:Execution,CPU Time:Idle,Task Time,Task Time:Execution,Task Time:Idle,Task Count,Task Time,Task Count,Average Task Time
[Outside any task],1.928085,0.070112,1.857973,,,,,,,0.0
clEnqueueReadBuffer,0.050080,0.050080,0.0,0.046458,0.044534,0.001924,128,0.046458,128,0.000363
clEnqueueWriteBuffer,0.020032,0.015024,0.005008,0.027228,0.023242,0.003986,256,0.027228,256,0.000106
clFinish,0.020032,0.020032,0.0,0.223384,0.223288,0.000096,128,0.223384,128,0.001745
clCreateBuffer,0.005008,0.005008,0.0,0.000358,0.000295,0.000063,384,0.000358,384,0.000001
clBuildProgram,0.0,0.0,0.0,0.000144,0.0,0.000144,1,0.000144,1,0.000144
clCreateCommandQueueWithProperties,0.0,0.0,0.0,0.000059,0.0,0.000059,1,0.000059,1,0.000059
clCreateContext,0.0,0.0,0.0,0.000260,0.0,0.000260,1,0.000260,1,0.000260
clCreateKernel,0.0,0.0,0.0,0.000117,0.0,0.000117,1,0.000117,1,0.000117
clCreateProgramWithSource,0.0,0.0,0.0,0.000008,0.0,0.000008,1,0.000008,1,0.000008
clEnqueueNDRangeKernel,0.0,0.0,0.0,0.004675,0.004425,0.000250,128,0.004675,128,0.000037
clReleaseMemObject,0.0,0.0,0.0,0.000094,0.000070,0.000024,384,0.000094,384,0.000000
