Task Type,CPU Time,CPU Time:Execution,CPU Time:Idle,Task Time,Task Time:Execution,Task Time:Idle,Task Count,Task Time,Task Count,Average Task Time
[Outside any task],0.485777,0.010016,0.475761,,,,,,,0.0
zeCommandQueueSynchronize,0.225361,0.215345,0.010016,0.231052,0.224428,0.006624,128,0.231052,128,0.001805
zeCommandQueueExecuteCommandLists,0.075120,0.035056,0.040064,0.075155,0.034460,0.040694,128,0.075155,128,0.000587
zeCommandListAppendMemoryCopy,0.040064,0.0,0.040064,0.034825,0.000219,0.034606,384,0.034825,384,0.000091
zeMemAllocDevice,0.010016,0.0,0.010016,0.003249,0.0,0.003249,384,0.003249,384,0.000008
zeCommandListAppendBarrier,0.0,0.0,0.0,0.000187,0.000001,0.000185,256,0.000187,256,0.000001
zeCommandListAppendLaunchKernel,0.0,0.0,0.0,0.000298,0.000002,0.000296,128,0.000298,128,0.000002
zeCommandListCreate,0.0,0.0,0.0,0.000793,0.0,0.000793,128,0.000793,128,0.000006
zeCommandQueueCreate,0.0,0.0,0.0,0.000369,0.000002,0.000367,128,0.000369,128,0.000003
zeKernelCreate,0.0,0.0,0.0,0.000028,0.0,0.000028,1,0.000028,1,0.000028
zeModuleCreate,0.0,0.0,0.0,0.000268,0.0,0.000268,1,0.000268,1,0.000268
